contract,method,run_index,instance_same_all_fields,instance_compare_line,raw_result_line
compute,normalCal,33,true,2026-06-15 17:32:32.179	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:dfa41ccae0174bd4a9b2f5a32dc15111 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:32.179	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 33 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,34,true,2026-06-15 17:32:32.196	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:7c3ef32b2f35483a82713a9cdff7d956 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:32.196	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 34 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,35,true,2026-06-15 17:32:32.215	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:2c9ebb1d795a4b84a120672a2a2f4982 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:32.215	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 35 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,36,true,2026-06-15 17:32:32.234	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:1862367479a14ff2ab48d496d1f30233 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:32.234	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 36 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,37,true,2026-06-15 17:32:32.252	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:0f2da64f54f648fe8fe09f08e1286db0 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:32.252	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 37 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,38,true,2026-06-15 17:32:32.274	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:6bd5ed1e642248149a1d75440f252f49 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:32.275	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 38 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,39,true,2026-06-15 17:32:32.295	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:cd0f45343d214806b4d15f7748f627a5 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:32.295	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 39 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,40,true,2026-06-15 17:32:32.314	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:35fd77a74d934d6884a3a756ecdf06c3 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:32.314	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 40 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,41,true,2026-06-15 17:32:32.332	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:97ab8b3ad6744030b78cbb94d039cfdd contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:32.332	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 41 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,42,true,2026-06-15 17:32:32.354	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:6fa4a0a2b09849e3abce02ef44fa852f contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:32.354	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 42 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,43,true,2026-06-15 17:32:32.373	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:72b2f043244d43229ffa1ca44ff675e6 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:32.373	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 43 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,44,true,2026-06-15 17:32:32.391	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:252b753d27e44480bff0f895557c1048 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:32.391	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 44 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,45,true,2026-06-15 17:32:32.409	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:6504cce2e3b449119730c60931adbc7c contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:32.409	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 45 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,46,true,2026-06-15 17:32:32.427	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:31ea47fd819540dfba886867589f45b5 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:32.427	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 46 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,47,true,2026-06-15 17:32:32.444	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:6d68a464db984e41a4721168aeec9547 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:32.444	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 47 contractResult = result:""success normalCal: 666"" gas_used:100000072"
